Sources: https://www.generalblue.com/calendar/canada/canada-holidays-2021 & https://www.generalblue.com/calendar/canada/canada-holidays-2022,,
,,
date,day_of_week,holiday
"January 1, 2022",Saturday,New Year's Day
"April 15, 2022",Friday,Good Friday
"April 17, 2022",Sunday,Easter Sunday
"May 8, 2022",Sunday,Mother's Day
"May 23, 2022",Monday,Victoria Day
"June 19, 2022",Sunday,Father's Day
"July 1, 2022",Friday,Canada Day
"August 1, 2022",Monday,Civic Holiday
"September 5, 2022",Monday,Labour Day
"October 10, 2022",Monday,Thanksgiving
"November 11, 2022",Friday,Remembrance Day
"December 25, 2022",Sunday,Christmas Day
"December 26, 2022",Monday,Boxing Day
"January 1, 2023",Sunday,New Year's Day
"April 7, 2023",Friday,Good Friday
"April 9, 2023",Sunday,Easter Sunday
"May 14, 2023",Sunday,Mother's Day
"May 22, 2023",Monday,Victoria Day
"June 18, 2023",Sunday,Father's Day
"July 1, 2023",Saturday,Canada Day
"August 7, 2023",Monday,Civic Holiday
"September 4, 2023",Monday,Labour Day
"October 9, 2023",Monday,Thanksgiving
"November 11, 2023",Saturday,Remembrance Day
"December 25, 2023",Monday,Christmas Day
"December 26, 2023",Tuesday,Boxing Day